scene_id,x,y
1,89669.8263482649,43133.249359249
1,89666.654747544,43127.828743249
1,89664.4003083518,43120.6122801863
1,89661.950536644,43120.2472643434
1,89656.5449946397,43118.2506879222
1,89653.4276236512,43113.5957646771
1,89649.1719847671,43116.5098383689
1,89648.13605643416,43117.78410551256
1,89644.8184108427,43119.6322709989
2,89632.64414027568,43128.515252994126
2,89622.73238276063,43142.58223033146
3,89613.70772344667,43157.59525876418
3,89612.26272353469,43163.65895008435
3,89615.3980194971,43166.973195949984
3,89618.87274776313,43167.19378943585
3,89620.91807517617,43161.67594502034
3,89622.74721375789,43158.61275393848
3,89625.22348712545,43155.59244424343
4,89636.23007403579,43140.162832838745
4,89639.20277689157,43136.47132731119
4,89641.65643343082,43135.101043170245
4,89646.79902097766,43136.597404954744
4,89648.47374073927,43138.15178771044
4,89647.05369439794,43143.21891388218
4,89639.41349178937,43154.67921779505
5,89629.68864583486,43169.66871770327
5,89627.48782765478,43174.50999989006
5,89618.16992456527,43175.97897370312
5,89618.11715331522,43181.57035429476
5,89624.18141127226,43185.121376404575
6,89627.46722041703,43187.077977470435
6,89635.92310235447,43190.09694208766
6,89634.39629713634,43175.678485322176
6,89643.71143694565,43179.78515986177
6,89649.4931839795,43182.88283883897
6,89654.09484983381,43186.00678163977
7,89656.76522914713,43186.77648973221
7,89662.39136511416,43185.5372729995
7,89664.85454819001,43181.4288500127
7,89661.82475277453,43175.053091417925
7,89654.0572134558,43174.41640786721
8,89651.72362894144,43174.21377054116
8,89640.81419560093,43169.95962301221
8,89646.25610308217,43163.53570761842
8,89648.0852460579,43161.53907905027
8,89654.84991609398,43159.12937889325
8,89658.88457416324,43157.09578292811
8,89661.72456333874,43160.50472554112
8,89662.35166307887,43163.43119099506
9,89664.24721343828,43166.46350830651
9,89667.75291121598,43173.6752294492
9,89673.35962386563,43170.069368877856
9,89676.83176955687,43166.79300447122
9,89682.05667829719,43157.64148671935
9,89685.89139099156,43149.84042280962
9,89677.92719713993,43151.452391682935
9,89674.86888111358,43149.83570511799
9,89669.2209007718,43148.22537468485
10,89664.47759352298,43147.34778973154
10,89656.60394765866,43144.874291114036
10,89653.0249089379,43140.64656710365
10,89657.96528418147,43133.79495510836
10,89661.03255755042,43128.26751147497
10,89655.33058055723,43121.0623263173
10,89647.21571374594,43118.48851985892
10,89650.40109376179,43125.17453893909
10,89638.92091901369,43120.685455764964
10,89632.70713328262,43128.37952213814
